"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO68","Santander","CO68092","Betulia",4,6.19461538461538,4.29807692307692,6.19461538461538,4.29807692307692,697,0,0,0,4,1,-0.178160479653017,-0.0375195133767562
"CO","Colombia","CO68","Santander","CO68101","Bolivar",1,12.9545,12.7085,12.9545,12.7085,32,0,0,0,21,2,NA,NA
"CO","Colombia","CO68","Santander","CO68101","Bolivar",4,10.669,7.05857142857143,10.669,7.05857142857143,7,0,0,0,21,2,-0.17642518043923,-0.444578712785031
"CO","Colombia","CO68","Santander","CO68121","Cabrera",1,4.602,2.872,4.602,2.872,1,0,0,0,7,1,NA,NA
"CO","Colombia","CO68","Santander","CO68121","Cabrera",4,7.8875,6.370375,7.8875,6.370375,15,0,0,0,7,1,0.713928726640591,1.2180971448468
"CO","Colombia","CO68","Santander","CO68132","California",1,6.56733333333333,3.09466666666667,6.56733333333333,3.09466666666667,19,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68132","California",4,6.885,4.58233333333333,6.885,4.58233333333333,48,0,0,0,3,1,0.0483707237843873,0.480719517449375
"CO","Colombia","CO68","Santander","CO68147","Capitanejo",1,18.0785,2.373,18.0785,2.373,11,0,0,0,9,1,NA,NA
"CO","Colombia","CO68","Santander","CO68147","Capitanejo",4,4.5142,3.8134,4.5142,3.8134,24,0,0,0,9,1,-0.750300080205769,0.606995364517488
"CO","Colombia","CO68","Santander","CO68152","Carcasi",1,1.454,1.8,1.454,1.8,1,0,0,0,32,1,NA,NA
"CO","Colombia","CO68","Santander","CO68152","Carcasi",4,20.0535,14.2135,20.0535,14.2135,12,0,0,0,32,1,12.7919532324622,6.89638888888889
"CO","Colombia","CO68","Santander","CO68160","Cepita",1,3.958,1.909,3.958,1.909,1,0,0,0,0,0,NA,NA
"CO","Colombia","CO68","Santander","CO68160","Cepita",4,14.6343333333333,18.904,14.6343333333333,18.904,5,0,0,0,0,0,2.69740609735557,8.90256678889471
"CO","Colombia","CO68","Santander","CO68162","Cerrito",1,1.223,2.74,1.223,2.74,1,0,0,0,9,1,NA,NA
"CO","Colombia","CO68","Santander","CO68162","Cerrito",4,6.12933333333333,6.936,6.12933333333333,6.936,15,0,0,0,9,1,4.0117198146634,1.53138686131387
"CO","Colombia","CO68","Santander","CO68167","Charala",1,8.60911764705882,7.628,8.60911764705882,7.628,313,0,0,0,14,1,NA,NA
"CO","Colombia","CO68","Santander","CO68167","Charala",4,4.77283333333333,3.06116666666667,4.77283333333333,3.06116666666667,539,0,0,0,14,1,-0.445607142450434,-0.598693410242965
"CO","Colombia","CO68","Santander","CO68169","Charta",1,1.96833333333333,2.818,1.96833333333333,2.818,51,0,0,0,14,1,NA,NA
"CO","Colombia","CO68","Santander","CO68176","Chima",1,4.344,2.91,4.344,2.91,33,0,0,0,0,1,NA,NA
"CO","Colombia","CO68","Santander","CO68176","Chima",4,3.994,2.04333333333333,3.994,2.04333333333333,156,0,0,0,0,1,-0.0805709023941068,-0.297823596792669
"CO","Colombia","CO68","Santander","CO68179","Chipata",1,15.098,11.4563333333333,15.098,11.4563333333333,9,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68179","Chipata",4,3.769,1.914,3.769,1.914,1,0,0,0,3,1,-0.750364286660485,-0.832930838837324
"CO","Colombia","CO68","Santander","CO68190","Cimitarra",1,8.94915,4.988,8.94915,4.988,124,1,0,0,13,2,NA,NA
"CO","Colombia","CO68","Santander","CO68190","Cimitarra",4,14.1739473684211,5.93486842105263,13.4577978947368,5.93486842105263,912,1,0,0,13,2,0.503807388940497,0.189829274469252
"CO","Colombia","CO68","Santander","CO68207","Concepcion",1,7.338,6.37,7.338,6.37,11,0,0,0,23,1,NA,NA
"CO","Colombia","CO68","Santander","CO68207","Concepcion",4,8.77633333333333,5.474,8.77633333333333,5.474,11,0,0,0,23,1,0.196011628963387,-0.140659340659341
"CO","Colombia","CO68","Santander","CO68209","Confines",1,4.16725,3.94125,4.16725,3.94125,33,0,0,0,1,1,NA,NA
"CO","Colombia","CO68","Santander","CO68209","Confines",4,7.77185714285714,6.754,7.77185714285714,6.754,28,0,0,0,1,1,0.864984616439413,0.713669521091024
"CO","Colombia","CO68","Santander","CO68211","Contratacion",1,9.829,15.986,9.829,15.986,2,0,0,0,5,1,NA,NA
"CO","Colombia","CO68","Santander","CO68211","Contratacion",4,3.331,3.431,3.331,3.431,4,0,0,0,5,1,-0.661104893681962,-0.785374702865007
"CO","Colombia","CO68","Santander","CO68217","Coromoro",1,5.585,2.6945,5.585,2.6945,9,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68217","Coromoro",4,22.8805,22.2345,22.8805,22.2345,4,0,0,0,3,1,3.09677708146822,7.25180924104658
"CO","Colombia","CO68","Santander","CO68229","Curiti",1,5.52135294117647,5.01941176470588,5.52135294117647,5.01941176470588,212,0,0,0,18,2,NA,NA
"CO","Colombia","CO68","Santander","CO68229","Curiti",4,5.466225,4.253275,5.466225,4.253275,382,0,0,0,18,2,-0.00998449868425255,-0.152634770889488
"CO","Colombia","CO68","Santander","CO68235","El Carmen de Chucuri",1,5.59705,5.09685,5.59705,5.09685,289,0,0,0,27,2,NA,NA
"CO","Colombia","CO68","Santander","CO68235","El Carmen de Chucuri",4,9.275875,7.9283125,9.275875,7.9283125,125,0,0,0,27,2,0.657279281049838,0.555531848102259
"CO","Colombia","CO68","Santander","CO68245","El Guacamayo",1,45.501,38.351,45.501,38.351,1,0,0,0,0,0,NA,NA
"CO","Colombia","CO68","Santander","CO68250","El Penon",1,12.157,4.95333333333333,12.157,4.95333333333333,62,0,0,0,6,0,NA,NA
"CO","Colombia","CO68","Santander","CO68250","El Penon",4,3.9655,6.2105,3.9655,6.2105,2,0,0,0,6,0,-0.6738093279592,0.253802153432032
"CO","Colombia","CO68","Santander","CO68255","El Playon",1,9.42725,6.697875,9.42725,6.697875,198,0,0,0,2,1,NA,NA
"CO","Colombia","CO68","Santander","CO68255","El Playon",4,5.198,4.6676,5.198,4.6676,502,0,0,0,2,1,-0.448619692911506,-0.303122258925405
"CO","Colombia","CO68","Santander","CO68264","Encino",1,12.129,12.157,12.129,12.157,38,0,0,0,11,1,NA,NA
"CO","Colombia","CO68","Santander","CO68264","Encino",4,3.033,6.104,3.033,6.104,9,0,0,0,11,1,-0.749938164729162,-0.497902443036933
